,0
1512,Cul4b
1513,Cul5
1514,Cuta
1515,Cutal
1516,Cutc
1517,Cux1
1518,Cux2
1519,Cwc15
1520,Cwc22
1521,Cwc25
1522,Cwc27
1523,Cwf19l1
1524,Cwf19l2
1525,Cx3cr1
1526,Cxadr
1527,Cxcl1
1528,Cxcl10
1529,Cxcl12
1530,Cxcl2
1531,Cxcl9
1532,Cxxc1
1533,Cxxc5
1534,Cyb561
1535,Cyb561a3
1536,Cyb561d2
1537,Cyb5a
1538,Cyb5b
1539,Cyb5d2
1540,Cyb5r3
1541,Cyb5r4
1542,Cyb5rl
1543,Cyc1
1544,Cycs
1545,Cyfip1
1546,Cyhr1
1547,Cyld
1548,Cyp17a1
1549,Cyp1a2
1550,Cyp20a1
1551,Cyp26a1
1552,Cyp27a1
1553,Cyp2a12
1554,Cyp2a22
1555,Cyp2a4
1556,Cyp2a5
1557,Cyp2b10
1558,Cyp2b13
1559,Cyp2b9
1560,Cyp2c23
1561,Cyp2c29
1562,Cyp2c37
1563,Cyp2c38
1564,Cyp2c39
1565,Cyp2c40
1566,Cyp2c50
1567,Cyp2c54
1568,Cyp2c55
1569,Cyp2c67
1570,Cyp2c68
1571,Cyp2c69
1572,Cyp2c70
1573,Cyp2d10
1574,Cyp2d11
1575,Cyp2d12
1576,Cyp2d22
1577,Cyp2d26
1578,Cyp2d34
1579,Cyp2d40
1580,Cyp2d9
1581,Cyp2e1
1582,Cyp2f2
1583,Cyp2g1
1584,Cyp2j5
1585,Cyp2j6
1586,Cyp2r1
1587,Cyp2u1
1588,Cyp39a1
1589,Cyp3a11
1590,Cyp3a13
1591,Cyp3a16
1592,Cyp3a25
1593,Cyp3a41a
1594,Cyp3a41b
1595,Cyp3a44
1596,Cyp3a59
1597,Cyp4a10
1598,Cyp4a12a
1599,Cyp4a12b
1600,Cyp4a14
1601,Cyp4a31
1602,Cyp4f13
1603,Cyp4f14
1604,Cyp4f15
1605,Cyp4f17
1606,Cyp4v3
1607,Cyp51
1608,Cyp7a1
1609,Cyp7b1
1610,Cyp8b1
1611,Cystm1
1612,Cyth1
1613,Cyth2
1614,D2hgdh
1615,Daam1
1616,Dab2ip
1617,Dad1
1618,Dag1
1619,Daglb
1620,Dalrd3
1621,Dap
1622,Dap3
1623,Dapk1
1624,Dapk2
1625,Dapk3
1626,Dars
1627,Dars2
1628,Daxx
1629,Dazap1
1630,Dazap2
1631,Dbi
1632,Dbnl
1633,Dbp
1634,Dbr1
1635,Dbt
1636,Dcaf1
1637,Dcaf10
1638,Dcaf11
1639,Dcaf12
1640,Dcaf13
1641,Dcaf17
1642,Dcaf5
1643,Dcaf6
1644,Dcaf7
1645,Dcaf8
1646,Dcakd
1647,Dclk3
1648,Dclre1a
1649,Dcn
1650,Dcp2
1651,Dcps
1652,Dct
1653,Dctn1
1654,Dctn2
1655,Dctn3
1656,Dctn4
1657,Dctn5
1658,Dctn6
1659,Dctpp1
1660,Dcun1d1
1661,Dcun1d2
1662,Dcun1d3
1663,Dcun1d4
1664,Dcun1d5
1665,Dcxr
1666,Dda1
1667,Ddah1
1668,Ddb1
1669,Ddc
1670,Ddhd1
